K	ADVFM	FM	PT	ID
 0	35.5	6.002	81.126	0632
 0	36.748	3.56	81.5	1594
 0	36.812	3.75	82.312	0723
 0	36.814	2.876	80.126	1420
 0	36.876	3.184	81.438	1291
 0	36.94	3.688	80	0260
 0	37.062	3.812	82.186	1502
 0	37.126	4.064	81.5	1437
 0	37.186	3.438	80.438	0159
 0	37.25	3.374	79.378	0596
 0	37.25	4.124	79.376	0283
 0	37.312	3.186	80.748	0214
 0	37.31	4.686	81.5	0898
 0	37	3.25	80.938	0653
 0	37.374	2.746	81.312	1001
 0	37.374	3.126	80.812	1091
 0	37.436	3.81	81.562	1023
 0	37.436	7.688	81.126	1740
 0	37.502	3.812	80.376	0595
 0	37.564	4.25	80.25	0076
 0	37.624	3.752	82.564	0168
 0	37.626	4.374	81.814	0252
 0	37.686	2.75	81.94	0581
 0	37.688	3.25	81.564	0782
 0	37.75	13.188	82.124	1715
 0	37.75	17.438	80.188	0690
 0	37.812	7.062	81.064	0738
 0	37.814	2.624	79.812	0988
 0	37.876	2.876	80.438	0590
 0	37.938	3.562	80.688	0378
 0	37.938	6.812	80.314	0105
 0	38.002	2.748	83.752	1109
 0	38.002	3.186	81.252	1014
 0	38.062	3.562	80.438	1661
 0	38.064	8.938	80.814	0067
 0	38.122	2.312	81.374	0426
 0	38.122	3.874	81.372	0056
 0	38.124	3.752	82.374	0323
 0	38.126	3.688	82.248	0176
 0	38.126	3.814	81.69	0990
 0	38.186	2.312	82.75	0679
 0	38.188	6.126	81.314	0098
 0	38.188	6.312	80.064	0103
 0	38.25	4.314	82.75	0197
 0	38.312	4.438	80.624	1237
 0	38	3.188	80.19	0623
 0	38.436	3.562	80.5	0673
 0	38.436	4.438	81.938	0885
 0	38.436	4.812	83.06	0463
 0	38.502	5.25	80.25	0100
 0	38.5	2.874	80.688	0989
 0	38.562	2.934	81.936	0611
 0	38.562	3.624	78.878	0322
 0	38.562	5.314	79.936	1201
 0	38.562	5.936	82.874	0145
 0	38.626	11	80.126	1491
 0	38.626	3.5	80.374	0515
 0	38.688	2.69	80.31	0178
 0	38.688	3.562	80.75	0364
 0	38.688	3.69	80.876	0606
 0	38.688	7	82	1523
 0	38.69	3	80.624	1184
 0	38.748	11.874	82.5	1208
 0	38.748	3.874	83.624	0920
 0	38.75	9.248	81.876	1259
 0	38.812	2.25	80.938	1749
 0	38.814	7.316	80.188	0370
 0	38.874	3.812	82.126	0085
 0	38.876	6.062	82.188	1519
 0	38.938	4.438	81	1641
 0	38.938	6.624	80.626	1739
 0	38.998	2.312	81.124	0077
 0	39.06	4	80.75	0853
 0	39.122	3.938	80.374	1315
 0	39.124	12.874	82.248	0189
 0	39.124	3.624	79.374	0703
 0	39.124	3.624	82.502	0347
 0	39.126	5.25	81.436	0047
 0	39.186	3.876	80.938	0993
 0	39.188	6.25	82.374	1090
 0	39.252	6.128	81.06	1324
 0	39.25	3.248	83.062	1428
 0	39.312	3.622	82.75	1533
 0	39.312	4.44	80.502	0935
 0	39.316	5.126	81.312	0314
 0	39.374	3.502	80.436	0471
 0	39.376	3.812	81.688	0265
 0	39.376	3.936	81.502	1137
 0	39.376	4.876	81.814	0417
 0	39.436	10.25	79.936	1136
 0	39.436	2.938	78.438	0219
 0	39.436	3.248	78.502	1706
 0	39.44	3.062	82.5	1388
 0	39.498	11.064	80.252	1352
 0	39.502	16.312	78.438	0683
 0	39.502	3.752	80.252	1726
 0	39.502	4.502	80.75	1703
 0	39.562	3.5	81.25	0717
 0	39.564	3.748	79.5	0116
 0	39.622	4	82.626	0247
 0	39.624	4.31	82.562	0954
 0	39.624	5.124	80.998	0436
 0	39.626	3.876	79.812	0641
 0	39.626	4	79.686	0506
 0	39.626	4	81.126	1494
 0	39.688	3.064	79.186	0282
 0	39.688	3.502	79.564	0689
 0	39.752	4.374	80.56	1407
 0	39	7.564	81.562	0869
 0	39.812	2.562	80.44	1583
 0	39.812	2.5	81.936	0656
 0	39.812	4.938	80.564	0908
 0	39.81	4.876	81.314	0617
 0	39.872	2.75	82.624	0553
 0	39.874	6.564	80.188	1017
 0	39.876	3.186	82.25	0533
 0	39.876	6.062	82.312	0790
 0	39.878	3.374	80.75	1497
 0	39.936	5.19	80.626	1164
 0	39.998	3.688	79.438	0555
 0	39.998	6.126	80.44	1353
 0	40.06	2.376	82.062	1250
 0	40.124	12.688	82	0074
 0	40.124	2.69	81.874	0124
 0	40.124	3.5	81.188	1684
 0	40.186	2.812	80.688	0440
 0	40.186	8.624	81.124	0007
 0	40.188	2.438	79.876	1577
 0	40.188	3.248	78.378	1102
 0	40.25	4.502	81.25	0433
 0	40.312	3.314	80.812	1698
 0	40.374	2.372	80.688	1741
 0	40.376	2.936	82.5	0701
 0	40.436	3.5	80.5	1058
 0	40.436	5.938	80.438	1536
 0	40.438	2.684	82.312	1225
 0	40.5	2.748	80.188	0734
 0	40.5	4	82.124	0251
 0	40.562	6.626	79.688	1105
 0	40.688	3.998	80.438	1348
 0	40.752	3.126	80.248	0258
 0	40.814	3.374	81.186	0686
 0	40.874	3.062	80.438	0001
 0	40.874	3.562	80	1692
 0	40.874	6.748	82.184	0081
 0	40.874	7.562	82.564	1695
 0	40.874	8.374	81.064	1360
 0	41.062	5.438	79.936	0928
 0	41.188	16.752	79.498	1173
 0	41	24.624	80.062	1734
 0	41.314	2.438	82.374	0248
 0	41.374	4.874	81.248	1306
 0	41.436	3.688	82.312	1423
 0	41.562	2.874	82.06	1550
 0	41.686	20.372	81.252	1630
 0	41.752	16.94	79.936	0639
 0	42.188	17.062	81.814	0626
 0	42.188	2.75	80.752	1327
 0	42.188	3.19	81.752	1528
 0	42.248	17.438	83.312	1624
 0	42.312	6.376	82.438	0410
 0	42.624	3.626	81.126	0629
 0	43.436	17.376	80.5	0365
 0	44.188	19.5	79.75	0516
 0	44.25	21.126	80.75	0060
 0	44.75	22.5	81.5	1392
 0	44.938	23.874	80.376	0952
 0	45.31	22	80.876	0714
 0	46.002	27.064	80.186	0850
 0	46.188	19.874	80.94	1084
 0	46.188	28.06	80.436	0840
 0	46.498	23.686	79.436	1367
 0	46.5	31.688	82.124	1606
 0	46.874	22.686	79.312	1114
 0	47.752	40.06	79.938	0521
 0	47.938	32.376	80.002	1358
 0	48.186	30.374	82.062	1083
 0	48.376	35	81.252	1524
 0	48.378	38.498	82.252	0593
 0	49.312	29.998	79.812	0694
 0	49.998	35.748	80.19	1287
 0	50.874	38.81	79.25	0576
 0	51.748	41.938	80.064	1705
 0	51.814	36.504	78.188	1603
 0	53.126	49.126	81.312	0288
 0	53.376	53.188	79.124	1059
 0	53.69	39.25	79.502	0827
