K	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	FM	PT	ID
 0	29.295	46.09	5.47	1.56	64.06	44.38	59.38	0382
 0	35.7425	47.66	18.75	13.28	63.28	39.06	59.69	0081
 0	40.82	12.50	0.00	56.25	94.53	72.19	57.81	0642
 0	41.21	82.03	82.81	0.00	0.00	7.5	77.5	0018
 0	42.3825	85.94	83.59	0.00	0.00	15	78.12	0234
 0	42.7725	82.81	88.28	0.00	0.00	8.12	77.81	0624
 0	43.36	86.72	86.72	0.00	0.00	5	79.69	0132
 0	43.555	85.94	88.28	0.00	0.00	4.69	83.12	0799
 0	43.555	85.94	88.28	0.00	0.00	8.12	75.94	0053
 0	43.75	85.94	89.06	0.00	0.00	14.37	81.88	0390
 0	43.75	88.28	86.72	0.00	0.00	5.94	81.56	0103
 0	43.75	89.84	85.16	0.00	0.00	12.5	81.25	0209
 0	43.75	91.41	83.59	0.00	0.00	15.62	78.12	0845
 0	43.945	85.94	89.84	0.00	0.00	3.12	80.94	0981
 0	43.945	85.94	89.84	0.00	0.00	7.5	81.88	0722
 0	43.945	86.72	89.06	0.00	0.00	17.5	80.31	0291
 0	43.945	86.72	89.06	0.00	0.00	9.38	82.81	0293
 0	43.945	89.84	85.94	0.00	0.00	5.31	80.31	0999
 0	43.945	92.97	82.81	0.00	0.00	12.81	76.25	0071
 0	44.14	85.94	90.62	0.00	0.00	6.88	77.81	0239
 0	44.14	87.50	89.06	0.00	0.00	3.12	74.06	0073
 0	44.14	89.06	87.50	0.00	0.00	7.19	78.44	0541
 0	44.335	88.28	89.06	0.00	0.00	4.69	78.75	0120
 0	44.3375	91.41	85.94	0.00	0.00	13.75	84.06	0101
 0	44.3375	92.19	85.16	0.00	0.00	7.5	83.44	0144
 0	44.53	87.50	90.62	0.00	0.00	10.62	80	0008
 0	44.53	90.62	87.50	0.00	0.00	8.12	83.44	0475
 0	44.725	89.84	89.06	0.00	0.00	8.44	79.38	0985
 0	44.725	90.62	88.28	0.00	0.00	8.75	80	0896
 0	44.7275	91.41	87.50	0.00	0.00	5.62	80	0815
 0	44.7275	92.19	86.72	0.00	0.00	21.56	76.88	0119
 0	44.7275	92.19	86.72	0.00	0.00	25	80.31	0683
 0	44.9225	88.28	91.41	0.00	0.00	6.88	81.88	0029
 0	44.9225	91.41	88.28	0.00	0.00	7.5	83.75	0894
 0	44.9225	91.41	88.28	0.00	0.00	8.75	81.25	0491
 0	44.92	89.06	90.62	0.00	0.00	3.75	83.12	0748
 0	45.115	89.84	90.62	0.00	0.00	8.44	84.38	0415
 0	45.1175	87.50	92.97	0.00	0.00	5.31	81.88	0189
 0	45.1175	91.41	89.06	0.00	0.00	3.44	80.94	0694
 0	45.3125	89.06	92.19	0.00	0.00	5.31	77.19	0148
 0	45.3125	89.84	91.41	0.00	0.00	5.94	78.75	0500
 0	45.3125	91.41	89.84	0.00	0.00	5.62	79.69	0904
 0	45.31	90.62	90.62	0.00	0.00	6.56	79.69	0606
 0	45.31	90.62	90.62	0.00	0.00	6.56	82.5	0537
 0	45.31	90.62	90.62	0.00	0.00	7.19	80	0596
 0	45.7025	89.06	93.75	0.00	0.00	6.56	80.62	0795
 0	45.705	91.41	91.41	0.00	0.00	10	78.12	0982
 0	45.9	91.41	92.19	0.00	0.00	6.25	78.75	0867
 0	45.9	92.19	91.41	0.00	0.00	6.56	78.44	0002
 0	46.0925	1.56	1.56	82.03	99.22	85.31	55	0421
 0	46.2875	89.84	95.31	0.00	0.00	4.69	75	0843
 0	48.4375	0.00	0.00	93.75	100.00	86.56	58.44	0563
 0	48.8275	2.34	0.00	92.97	100.00	85.31	53.12	0122
 0	49.0225	0.00	0.00	96.09	100.00	85.31	60	0980
 0	49.22	0.00	0.00	96.88	100.00	86.25	55	0092
 0	49.22	0.00	0.00	96.88	100.00	86.56	55.31	0257
 0	49.61	0.00	0.00	98.44	100.00	88.44	55.31	0430
 0	49.61	0.00	0.78	97.66	100.00	90.62	77.19	0402
 0	49.805	0.00	0.00	99.22	100.00	85.94	55.62	0921
 0	49.805	0.00	0.00	99.22	100.00	86.88	55.94	0657
 0	49.805	0.00	0.00	99.22	100.00	89.06	56.25	0416
 0	49.805	0.00	0.00	99.22	100.00	89.69	60.94	0231
 0	49.805	0.00	0.00	99.22	100.00	90.31	54.06	0124
 0	49.805	0.00	0.00	99.22	100.00	90.31	78.75	0197
 0	49.805	0.00	0.00	99.22	100.00	90	59.69	0142
 0	49.805	0.00	0.00	99.22	100.00	92.81	51.25	0672
 0	50	0.00	0.00	100.00	100.00	85	55.62	0090
 0	50	0.00	0.00	100.00	100.00	85	59.06	0859
 0	50	0.00	0.00	100.00	100.00	85.62	62.81	0838
 0	50	0.00	0.00	100.00	100.00	86.56	61.88	0385
 0	50	0.00	0.00	100.00	100.00	87.19	62.5	0820
 0	50	0.00	0.00	100.00	100.00	87.81	52.19	0809
 0	50	0.00	0.00	100.00	100.00	88.12	54.69	0429
 0	50	0.00	0.00	100.00	100.00	88.12	56.56	0272
 0	50	0.00	0.00	100.00	100.00	88.12	59.69	0622
 0	50	0.00	0.00	100.00	100.00	88.44	55	0598
 0	50	0.00	0.00	100.00	100.00	88.75	50.94	0137
 0	50	0.00	0.00	100.00	100.00	88.75	53.75	0833
 0	50	0.00	0.00	100.00	100.00	88.75	55	0592
 0	50	0.00	0.00	100.00	100.00	88.75	56.25	0237
 0	50	0.00	0.00	100.00	100.00	88.75	57.19	0486
 0	50	0.00	0.00	100.00	100.00	88.75	57.5	0920
 0	50	0.00	0.00	100.00	100.00	88.75	61.56	0168
 0	50	0.00	0.00	100.00	100.00	89.06	55	0356
 0	50	0.00	0.00	100.00	100.00	89.06	56.56	0287
 0	50	0.00	0.00	100.00	100.00	89.06	57.19	0668
 0	50	0.00	0.00	100.00	100.00	89.06	58.44	0241
 0	50	0.00	0.00	100.00	100.00	89.06	60.62	0882
 0	50	0.00	0.00	100.00	100.00	89.38	54.06	0379
 0	50	0.00	0.00	100.00	100.00	89.38	54.37	0521
 0	50	0.00	0.00	100.00	100.00	89.38	57.5	0393
 0	50	0.00	0.00	100.00	100.00	89.69	57.19	0346
 0	50	0.00	0.00	100.00	100.00	89.69	57.19	0505
 0	50	0.00	0.00	100.00	100.00	89.69	58.13	0703
 0	50	0.00	0.00	100.00	100.00	90.31	55.31	0652
 0	50	0.00	0.00	100.00	100.00	90.31	58.75	0494
 0	50	0.00	0.00	100.00	100.00	90	57.19	0705
 0	50	0.00	0.00	100.00	100.00	90.62	55.94	0817
 0	50	0.00	0.00	100.00	100.00	90.62	56.25	0425
 0	50	0.00	0.00	100.00	100.00	90.62	59.69	0206
 0	50	0.00	0.00	100.00	100.00	90.94	56.56	0504
 0	50	0.00	0.00	100.00	100.00	90.94	57.19	0658
 0	50	0.00	0.00	100.00	100.00	91.25	53.75	0218
 0	50	0.00	0.00	100.00	100.00	91.25	57.19	0682
 0	50	0.00	0.00	100.00	100.00	91.56	57.19	0746
 0	50	0.00	0.00	100.00	100.00	91.56	79.69	0328
 0	50	0.00	0.00	100.00	100.00	92.19	61.25	0167
 0	50	0.00	0.00	100.00	100.00	92.5	53.44	0954
 0	50	0.00	0.00	100.00	100.00	92.5	72.81	0460
 0	50	0.00	0.00	100.00	100.00	92.81	50	0027
 0	50	0.00	0.00	100.00	100.00	92.81	75	0631
 0	50	0.00	0.00	100.00	100.00	92.81	80	0312
 0	50	0.00	0.00	100.00	100.00	93.44	55	0141
 0	50	0.00	0.00	100.00	100.00	95	57.81	0946
 0	50	10.94	3.12	86.72	99.22	87.5	74.06	0702
 0	50.195	0.00	0.78	100.00	100.00	90.31	79.69	0453
 0	50.195	0.78	0.78	99.22	100.00	89.38	73.75	0608
 0	50.195	0.78	0.78	99.22	100.00	90.31	75.31	0965
 0	50.39	1.56	0.00	100.00	100.00	88.75	75	0246
 0	50.78	0.78	6.25	96.09	100.00	91.25	80.31	0221
 0	50.78	1.56	6.25	95.31	100.00	87.5	78.75	0306
 0	50.975	12.50	2.34	89.84	99.22	84.06	81.56	0937
 0	50.9775	0.00	5.47	98.44	100.00	88.44	78.12	0575
 0	50.9775	0.00	5.47	98.44	100.00	91.56	83.44	0354
 0	50.9775	4.69	0.00	99.22	100.00	88.12	75	0992
 0	51.1725	0.78	9.38	95.31	99.22	90.31	81.88	0108
 0	51.17	8.59	5.47	95.31	95.31	88.75	77.5	0469
 0	51.365	7.03	7.81	90.62	100.00	86.88	78.44	0785
 0	51.3675	85.94	75.00	10.94	33.59	54.69	83.12	0717
 0	51.5625	2.34	6.25	97.66	100.00	89.69	80	0975
 0	51.5625	7.03	0.00	99.22	100.00	91.88	73.75	0994
 0	51.7575	10.16	1.56	95.31	100.00	86.88	77.81	0775
 0	51.7575	5.47	2.34	99.22	100.00	88.12	78.44	0591
 0	51.7575	6.25	0.78	100.00	100.00	91.56	76.25	0560
 0	51.76	6.25	10.16	91.41	99.22	89.38	78.12	0806
 0	52.1475	1.56	8.59	98.44	100.00	89.38	78.44	0885
 0	52.3425	17.19	21.09	77.34	93.75	83.44	79.38	0998
 0	52.3425	2.34	7.03	100.00	100.00	91.88	83.12	0176
 0	52.345	3.91	9.38	96.09	100.00	88.12	78.75	0674
 0	52.345	4.69	7.81	97.66	99.22	86.88	78.75	0392
 0	52.345	7.03	10.94	92.97	98.44	91.88	76.88	0216
 0	52.5375	2.34	8.59	99.22	100.00	92.81	79.06	0074
 0	52.5375	27.34	13.28	73.44	96.09	82.81	80	0295
 0	52.5375	8.59	7.03	95.31	99.22	89.69	76.56	0112
 0	52.54	4.69	7.81	97.66	100.00	90	77.19	0974
 0	52.7325	15.62	8.59	89.84	96.88	87.81	81.88	0979
 0	52.73	65.62	33.59	33.59	78.12	68.44	75.62	0399
 0	52.93	25.00	6.25	82.81	97.66	84.06	79.06	0675
 0	52.9325	12.50	10.94	91.41	96.88	88.12	82.19	0620
 0	53.125	17.19	7.81	89.06	98.44	86.25	80	0829
 0	53.125	20.31	7.81	85.94	98.44	86.56	74.69	0777
 0	53.125	7.03	6.25	99.22	100.00	90.94	81.56	0837
 0	53.125	9.38	14.84	90.62	97.66	84.69	78.12	0588
 0	53.32	0.78	14.84	97.66	100.00	90	80.62	0630
 0	53.32	25.00	10.94	81.25	96.09	84.06	75.94	0958
 0	53.3225	9.38	10.16	95.31	98.44	90	80.62	0909
 0	53.32	26.56	19.53	72.66	94.53	83.12	79.06	0434
 0	53.32	8.59	14.84	91.41	98.44	90	80	0661
