K	SYNTH	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	ADVFM_under	FM	PT	ID
 0	33.3333	54.8953	0.78	0	87.7567	99.22	86.72	81.2533	58.7533	0764
 0	33.8533	59.792	1.3	0	97.66	100	100	86.5633	59.3767	0562
 0	34.3733	58.75	0	0	96.6133	100	97.1367	85.8367	60	0163
 0	35.9367	55.156	0	0.52	85.1533	99.22	90.8867	79.48	59.3767	0863
 0	36.9767	59.4793	0	0	98.1767	100	99.22	87.81	58.1267	0114
 0	36.98	58.906	1.3	0.26	95.05	99.22	98.7	84.8967	58.02	0016
 0	38.5433	54.6347	10.4133	0	74.2167	96.8733	91.67	78.23	57.6033	0792
 0	39.5833	44.7393	15.3633	1.04	40.6267	90.3633	76.3033	71.3533	55.6233	0509
 0	40.6233	56.3547	1.30333	0	91.9267	99.22	89.3233	84.48	58.1267	0151
 0	40.6267	59.792	0	0	99.74	100	99.22	87.5	60	0854
 0	41.6633	50.1033	9.11333	3.64667	74.7367	89.5833	73.4367	69.9967	56.46	0901
 0	4.16667	13.2813	0	0	13.54	20.5733	32.2933	18.1233	0	0546
 0	41.6667	69.0107	48.6967	18.49	92.7067	96.3567	88.8033	79.7933	67.6033	0690
 0	42.1867	52.6033	1.56	0	79.4267	99.74	82.29	76.3533	57.71	0045
 0	42.1867	60	0	0	100	100	100	88.5433	56.7733	0781
 0	42.7067	35.574	38.5433	5.21	30.21	63.5433	40.3633	53.23	60.2067	0405
 0	43.2267	65.0527	54.43	19.7933	82.81	91.1467	77.0833	75.1033	68.75	0573
 0	43.23	59.844	0	0	99.48	100	99.74	86.4567	55.21	0017
 0	43.7467	60	0	0	100	100	100	87.2933	57.3967	0370
 0	43.75	59.948	0	0	99.74	100	100	87.1867	56.6667	0120
 0	44.2667	59.948	0	0	99.74	100	100	87.6	56.3567	0160
 0	44.27	55.5727	83.8567	38.54	52.8633	35.1567	67.4467	47.1867	63.2267	0931
 0	44.27	59.844	0	0	99.48	100	99.74	86.56	57.81	0135
 0	44.27	59.948	0	0	99.74	100	100	84.0633	56.98	0366
 0	44.27	60	0	0	100	100	100	88.3333	56.4567	0258
 0	44.7933	60	0	0	100	100	100	89.3733	57.5	0899
 0	44.7933	63.2293	69.2733	45.8333	59.6333	78.3867	63.02	66.0433	65.3133	0885
 0	44.79	68.9067	82.5533	67.1867	51.0433	73.4367	70.3133	66.1467	68.44	0861
 0	45.3133	60	0	0	100	100	100	86.5667	59.5833	0618
 0	45.3133	68.49	75	67.71	57.55	75.7833	66.4067	63.8567	64.5833	0396
 0	45.3133	75.7307	80.9933	75	73.7	72.3967	76.5633	75.0033	66.8767	0103
 0	45.8333	35.26	88.54	87.76	0	0	0	8.96	65.31	0368
 0	46.3533	60	0	0	100	100	100	86.77	58.1267	0007
 0	46.3533	62.7087	15.1033	0.26	99.74	98.7	99.74	90.2067	66.3533	0876
 0	46.3567	61.302	15.1033	0	96.0933	96.6167	98.6967	88.1233	63.8567	0671
 0	46.8733	60	0	0	100	100	100	87.2933	58.0233	0557
 0	46.8733	60.99	5.73	0	99.74	99.48	100	85.83	65.31	0814
 0	46.8767	65.676	70.05	52.8633	65.1	82.0333	58.3333	65.1	69.48	0551
 0	46.8767	72.3946	72.9133	53.6433	77.6033	80.47	77.3433	74.0633	66.5633	0186
 0	46.88	61.8247	18.4933	0.52	95.0533	97.92	97.1367	83.1233	66.77	0019
 0	47.3933	73.906	78.9067	75	71.6133	75.78	68.23	67.5	62.9167	0753
 0	47.3967	42.1347	86.2	75.78	5.20667	40.8833	2.60333	32.3967	66.98	0358
 0	47.3967	64.7407	35.4167	15.8867	88.5433	95.5733	88.2833	78.33	65.6233	0839
 0	47.3967	65.8333	39.0633	17.4467	87.24	95.57	89.8467	78.8533	66.25	0271
 0	47.9133	48.7493	72.6567	42.9667	33.8533	78.1233	16.1467	55	64.9	0363
 0	47.9133	59.01	67.97	42.1867	53.6467	82.81	48.4367	64.7933	66.7733	0387
 0	47.9167	60	0	0	100	100	100	87.6033	57.2933	0612
 0	47.9167	67.5527	32.03	23.1767	92.71	93.75	96.0967	81.8767	66.8733	0315
 0	47.9167	68.542	55.99	3.90667	94.7933	93.49	94.53	78.8567	67.4967	0128
 0	47.9167	70.7293	52.3433	26.0433	87.76	93.75	93.75	82.9167	67.3967	0531
 0	47.9167	71.2507	65.1067	39.5833	79.4267	87.24	84.8967	73.23	64.58	0353
 0	47.9167	78.906	63.8033	63.28	85.9367	91.4067	90.1033	80.94	66.98	0403
 0	48.4367	60	0	0	100	100	100	88.6467	57.71	0521
 0	48.44	57.1873	48.6967	17.97	70.05	94.27	54.95	69.0633	66.0433	0042
 0	48.9567	67.136	41.6667	0.78	98.18	95.8333	99.22	87.19	65.9367	0648
 0	48.9567	69.3233	62.24	59.1167	75	79.9467	70.3133	66.6667	69.3767	0677
 0	48.9567	70.2614	66.4067	65.8867	65.6267	74.22	79.1667	68.0233	66.8767	0859
 0	48.9567	72.968	52.08	36.4567	93.49	91.4067	91.4067	83.3333	69.6867	0299
 0	48.96	59.948	0	0	99.74	100	100	88.2267	59.79	0374
 0	48.96	72.6553	49.2167	64.84	82.8133	79.9467	86.46	72.92	67.5	0927
 0	49.4767	60	0	0	100	100	100	88.44	58.6433	0054
 0	49.4767	60	0	0	100	100	100	89.79	57.3967	0264
 0	49.4767	62.0313	13.02	0.26	98.7	98.1767	100	88.54	66.1467	0156
 0	49.4833	43.802	83.0733	61.9767	16.93	53.9067	3.12333	37.0833	64.1667	0345
 0	49.48	59.792	0	0	98.96	100	100	88.6433	56.8733	0112
 0	49.48	61.5633	10.9367	1.56	97.66	99.74	97.92	89.58	67.9167	0394
 0	49.48	62.448	16.9267	6.77	95.5733	97.1367	95.8333	86.04	64.5867	0634
 0	49.48	63.5427	81.7733	75.7833	61.46	50.26	48.4367	50.73	65.52	0022
 0	49.48	65.8847	10.4133	29.6867	95.05	96.6167	97.6567	85.6267	68.8567	0689
 0	49.48	69.844	60.4167	53.9067	75	84.1167	75.78	69.8967	68.54	0067
 0	49.48	80.1047	67.71	71.8767	84.6367	86.1967	90.1033	78.44	68.6433	0032
 0	49.9967	35.8327	87.7567	91.4067	0	0	0	7.49667	65.1033	0920
 0	50.0033	62.4474	78.6467	61.1967	55.4667	70.57	46.3567	59.79	67.2933	0421
 0	50.0033	76.9287	60.4167	54.43	86.2	91.1467	92.45	80.9333	65.8333	0384
 0	50.5167	63.7507	22.6567	0	97.3967	98.7	100	88.1233	67.9167	0758
 0	50.5233	35.9373	88.8033	90.8833	0	0	0	11.3533	65.4167	0603
 0	50.5233	60	0	0	100	100	100	87.6067	55.31	0338
 0	50.5233	60	0	0	100	100	100	88.6467	59.48	0041
 0	50.5233	60.8853	81.77	83.3333	53.9067	44.7933	40.6233	55.21	69.3733	0649
 0	50.5233	61.5633	18.23	1.3	96.0933	97.4	94.7933	87.7067	67.0867	0139
 0	50.5233	70	42.19	23.9567	92.9667	93.49	97.3967	85.21	67.29	0090
 0	50.5233	70.5207	60.6767	51.8233	80.99	76.8233	82.29	72.2933	63.8533	0538
 0	50.52	60	0	0	100	100	100	87.81	55.1033	0628
 0	50.52	62.7613	63.8033	14.0633	74.48	93.23	68.23	75.4133	67.2933	0575
 0	50.52	70.834	68.49	11.46	93.49	89.3233	91.4067	83.1233	64.69	0923
 0	50.52	75.0527	69.79	64.0633	74.74	78.3867	88.2833	78.96	68.02	0265
 0	50	60	0	0	100	100	100	88.8533	58.3333	0168
 0	50	67.0847	67.19	54.1667	71.6167	83.3333	59.1167	65.6267	65.21	0661
 0	50	67.1353	63.8033	58.5933	65.3633	81.25	66.6667	61.98	67.6	0004
 0	50	74.1147	76.3	60.4167	75.26	76.8233	81.7733	75.52	65	0310
 0	51.04	62.9167	71.3533	59.3767	54.1667	75	54.6867	61.8733	66.5633	0651
 0	51.04	68.5933	47.3967	42.4467	82.5533	88.02	82.55	71.98	68.5433	0133
 0	51.04	70	75.78	47.1367	68.23	83.0733	75.78	70.5233	65.6233	0362
 0	51.04	74.8953	66.9267	55.99	81.77	82.55	87.24	77.29	64.48	0252
 0	51.04	77.552	77.6033	77.6033	75.26	77.0833	80.21	70.73	67.2933	0581
 0	51.5633	60	0	0	100	100	100	87.9167	56.25	0390
 0	51.5633	65.8347	33.5967	3.12333	97.1367	97.6567	97.66	88.4367	64.5833	0862
 0	51.5633	66.3027	69.01	46.0933	64.5867	85.4167	66.4067	69.8933	66.25	0757
 0	51.5633	69.636	38.2833	24.48	94.0067	95.3133	96.0967	87.0833	64.5833	0181
 0	51.5633	73.1773	75.0033	73.1767	70.8333	72.6567	74.2167	66.25	66.3533	0026
 0	51.5633	73.8547	62.7633	63.5433	80.4667	82.2933	80.2067	70.2067	67.7067	0179
 0	51.5633	74.4793	83.3333	76.5633	72.1333	69.01	71.3567	72.71	63.1267	0308
 0	51.56	64.4287	25	2.08333	98.18	97.92	98.96	87.8167	69.3733	0768
 0	51.56	70.2593	27.0833	39.06	93.7467	95.3133	96.0933	83.6433	68.2333	0583
 0	51.56	72.448	64.3233	42.71	79.9467	88.28	86.98	80.6233	68.1267	0000
 0	51.56	73.0727	52.6033	36.72	90.1033	91.9267	94.01	80.1067	64.0667	0518
 0	51.56	73.386	36.1967	48.6967	91.1467	96.6167	94.2733	83.75	69.1667	0036
 0	52.0833	47.24	70.5733	33.8533	30.99	81.25	19.5333	53.5433	65.6233	0800
 0	52.0833	59.948	0	0	99.74	100	100	88.4367	59.4833	0298
 0	52.0833	60	0	0	100	100	100	87.1867	59.3733	0845
 0	52.0833	60	0	0	100	100	100	89.5833	62.1867	0197
 0	52.0833	60	0	0	100	100	100	89.8933	58.23	0847
 0	52.0833	62.3447	11.98	2.08333	98.44	99.74	99.48	88.54	66.25	0798
 0	52.0833	62.7607	44.01	16.1467	80.99	96.8767	75.78	75.6267	65.52	0015
 0	52.0833	63.072	61.1967	36.1967	66.9267	90.6233	60.4167	73.5433	67.6067	0287
 0	52.0833	63.8014	60.1567	35.6767	73.6967	85.6767	63.8	71.6667	63.9567	0903
 0	52.0833	70.104	59.3733	23.1767	83.0733	92.97	91.9267	81.1467	64.1667	0266
 0	52.0833	72.552	61.72	63.0233	76.3	82.55	79.1667	73.3333	68.4367	0891
 0	52.0833	73.282	64.5833	42.45	81.25	88.02	90.1067	75.94	65.42	0624
 0	52.0833	78.126	73.18	64.5867	79.9467	83.8533	89.0633	78.1233	65.4167	0652
 0	52.0867	59.7927	71.3533	53.3867	49.48	78.1267	46.6167	60.73	67.0833	0153
 0	52.0867	70.5733	62.24	68.49	66.41	72.6567	83.07	66.6667	66.9767	0595
 0	52.0867	76.9267	65.1033	73.6967	81.51	81.51	82.8133	76.8733	68.54	0759
 0	52.6033	60	0	0	100	100	100	88.9567	60.31	0837
 0	52.6033	63.6453	58.0733	26.5633	76.56	91.6667	65.3633	72.9133	64.8933	0082
 0	52.6033	74.478	47.3933	50.78	89.0633	92.7067	92.4467	81.77	69.06	0597
 0	52.6067	70.5727	55.47	26.82	89.3233	90.6267	90.6233	80.9367	64.3767	0398
 0	52.6067	72.3447	39.3267	34.8967	95.05	95.0533	97.3967	83.4367	66.1467	0541
 0	52.6	60	0	0	100	100	100	88.8533	56.3533	0838
 0	52.6	75.7293	57.29	40.3667	91.1433	93.4933	96.3533	85.3133	68.1267	0535
 0	53.1233	59.74	0	0	98.7	100	100	87.3967	57.2933	0037
 0	53.1233	60.574	6.51	0	98.7	99.22	98.44	89.06	62.6033	0503
 0	53.1233	62.3447	82.5533	63.2833	56.77	49.4767	59.64	53.23	67.81	0293
 0	53.1233	64.22	21.0967	5.99	96.8733	97.92	99.22	85.21	65.1067	0641
 0	53.1233	65.1053	32.55	7.81333	92.71	97.4	95.0533	85.6267	68.1233	0644
 0	53.1267	59.896	0	0	99.48	100	100	88.5433	59.2733	0278
 0	53.1267	60	0	0	100	100	100	87.3967	59.0633	0785
 0	53.1267	70.1053	18.23	46.8733	94.7933	93.7533	96.8767	82.3967	65.3133	0121
 0	53.6433	35.6773	88.2833	90.1033	0	0	0	9.16667	66.7733	0323
 0	53.6433	60	0	0	100	100	100	86.77	55.5233	0900
 0	53.6433	60	0	0	100	100	100	88.75	57.7067	0018
 0	53.6433	63.6467	21.0933	0	98.96	98.44	99.74	87.81	65.9367	0409
 0	53.6433	70.416	46.3533	32.03	88.8033	91.1467	93.7467	81.8767	63.8567	0089
 0	53.6467	60	0	0	100	100	100	88.75	59.27	0174
 0	53.6467	63.6467	17.1867	5.73	97.3967	98.18	99.74	89.1667	68.54	0640
 0	53.6467	68.4373	43.49	12.76	94.01	95.5733	96.3533	82.8133	66.1467	0686
 0	53.6467	70.5207	52.6067	21.8767	90.6233	93.4867	94.01	81.1467	67.71	0810
 0	53.6467	72.8126	79.1633	77.8633	67.71	71.3533	67.9733	69.3733	68.6467	0187
 0	53.6467	73.23	42.71	36.72	94.27	95.3133	97.1367	86.04	66.1433	0777
 0	53.65	60	0	0	100	100	100	89.27	60.1067	0152
 0	54.1633	60	0	0	100	100	100	89.6867	61.1467	0020
 0	54.1633	62.4487	12.24	2.86333	98.96	99.22	98.96	86.9767	68.23	0389
 0	54.1633	72.0833	81.51	75.52	57.8133	72.3967	73.1767	66.5633	66.46	0913
 0	54.1633	72.6567	40.3667	40.8833	90.8867	95.5733	95.5733	85.4167	68.23	0871
 0	54.1633	79.948	67.71	56.2467	90.1033	92.45	93.23	78.23	70	0193
 0	54.1667	52.03	55.4667	12.5	61.1967	90.8833	40.1033	68.1233	67.7067	0804
 0	54.1667	60.418	6.25	0	98.44	98.96	98.44	86.6667	66.5633	0569
 0	54.1667	60.6247	3.38333	0.26	99.48	100	100	88.1267	66.8767	0787
 0	54.1667	62.606	21.6167	4.43	92.97	98.18	95.8333	84.0633	66.4567	0002
 0	54.1667	62.9687	25.78	3.38333	91.4067	96.8733	97.4	85.42	67.2933	0280
 0	54.1667	67.1367	41.1467	8.33333	92.45	95.5733	98.18	87.3967	66.3567	0525
 0	54.1667	68.96	47.3967	13.0233	94.7933	92.4467	97.14	85.73	67.7067	0349
 0	54.1667	69.7933	16.1467	41.93	95.5733	96.8767	98.44	85.3133	65	0335
 0	54.17	65.0013	30.47	0	97.3967	97.4	99.74	88.1267	66.3533	0296
 0	54.6833	70.5227	48.18	17.71	91.4067	96.8767	98.44	88.1267	67.0867	0381
 0	54.6867	35.9893	91.4067	88.54	0	0	0	9.16667	64.6867	0602
 0	54.6867	60	0	0	100	100	100	90.3167	57.5	0869
 0	54.6867	61.458	38.0167	11.72	86.72	96.0933	74.74	76.77	64.1667	0820
 0	54.6867	61.7713	10.9367	0	99.22	98.7	100	85.7267	67.2933	0879
 0	54.6867	64.272	25	6.77	95.0533	96.88	97.6567	86.77	67.1867	0514
 0	54.6867	64.5833	79.9467	76.3033	57.55	45.0533	64.0633	57.6033	68.85	0383
 0	54.6867	67.3433	82.8133	54.6867	63.2833	66.6633	69.27	67.0833	66.2533	0411
 0	54.6867	67.6567	46.8767	5.20667	94.0133	95.05	97.1367	87.2933	65.73	0617
 0	54.6867	72.0307	17.4467	63.02	91.4067	93.49	94.79	85.5233	66.8733	0039
 0	54.69	63.1247	53.1233	61.1967	62.76	74.48	64.0633	64.3767	66.4567	0095
 0	54.69	66.9273	33.5933	12.5	94.7933	97.1367	96.6133	88.02	67.71	0600
 0	54.69	70.4687	52.08	39.3233	79.1667	88.8033	92.97	78.9567	66.5633	0393
 0	55.2067	57.916	16.4067	2.86333	90.6233	98.96	80.7267	78.4367	62.7067	0613
 0	55.2067	59.74	0	0	98.7	100	100	89.6833	65.4167	0593
 0	55.2067	60	0	0	100	100	100	88.1233	57.3933	0506
 0	55.2067	60.4693	5.20667	0	98.96	98.7	99.48	88.8567	68.6467	0175
 0	55.2067	64.4267	30.2067	3.12333	94.27	97.92	96.6133	85.21	66.77	0056
 0	55.2067	66.8233	34.1133	13.0233	94.27	95.5733	97.1367	86.3533	69.0633	0762
 0	55.2067	69.218	44.53	14.3233	95.83	95.8333	95.5733	83.75	66.56	0906
 0	55.21	60	0	0	100	100	100	87.2933	59.6867	0672
 0	55.21	60	0	0	100	100	100	88.75	55.73	0291
 0	55.21	60.6253	5.46667	0	98.44	99.48	99.74	87.1867	67.3967	0169
 0	55.21	63.802	16.93	10.1533	97.3967	96.8733	97.6567	86.5633	66.9767	0126
 0	55.21	68.75	40.3633	11.98	96.8767	97.3967	97.1333	84.8967	67.8133	0637
 0	55.21	69.1667	77.6033	58.8567	65.1033	73.6967	70.5733	66.1467	63.75	0875
 0	55.21	72.4487	33.3333	53.9067	88.5433	92.97	93.49	78.65	68.02	0088
 0	55.7267	62.5007	15.6267	0.78	97.9167	98.96	99.22	87.3967	65.73	0508
 0	55.7267	64.1147	19.53	8.85333	96.6167	96.8733	98.7	86.4567	65.73	0268
 0	55.7267	74.0627	75	74.74	74.48	73.7	72.3933	70.6233	65.42	0564
 0	55.7267	77.1873	47.92	65.1033	85.4167	94.0067	93.49	83.3333	67.6033	0141
 0	55.73	52.4993	48.9567	12.5	68.23	95.05	37.76	69.3733	66.3533	0369
 0	55.73	60	0	0	100	100	100	87.9133	56.8733	0660
 0	55.73	60.1567	6.50667	0.78	96.8767	98.7	97.92	85.9367	61.8733	0159
 0	55.73	62.8646	21.3533	1.82333	96.3533	98.44	96.3533	84.27	63.7467	0782
 0	55.73	63.5427	19.01	4.68667	96.3567	98.44	99.22	87.81	66.5633	0154
 0	55.73	63.698	22.6567	8.59	92.1867	98.18	96.8767	83.54	67.6033	0073
 0	55.73	66.3533	32.55	9.37667	95.57	96.8733	97.3967	87.81	67.5	0256
 0	55.73	69.166	68.2267	57.81	71.8767	81.77	66.1467	69.79	69.06	0397
 0	55.73	73.5413	63.8033	29.1667	90.3633	91.9267	92.4467	84.58	68.4367	0673
 0	56.2533	60	0	0	100	100	100	88.4367	57.5033	0392
 0	56.2533	60.052	0.78	0	99.48	100	100	88.1267	63.9567	0537
 0	56.2533	68.3327	41.1433	17.9667	90.8833	97.1367	94.5333	84.27	66.6667	0157
 0	56.25	59.74	0	0	99.22	99.48	100	88.02	66.04	0940
 0	56.25	61.3033	10.9367	0.26	97.92	98.18	99.22	89.06	65	0688
 0	56.25	61.6153	9.63667	0	99.48	99.48	99.48	89.27	64.0633	0429
 0	56.25	63.6453	23.9567	7.29333	93.4867	96.3533	97.1367	88.6433	66.77	0317
 0	56.25	68.438	59.3733	29.1667	82.2933	92.71	78.6467	79.0633	66.25	0251
 0	56.25	69.7913	53.3833	29.1633	85.94	91.6667	88.8033	83.5433	66.46	0346
 0	56.25	73.8546	63.5433	78.6433	80.47	70.3133	76.3033	69.0633	69.48	0359
 0	56.7667	69.5313	29.6867	29.1667	95.0533	97.9167	95.8333	86.3533	68.4367	0166
 0	56.7733	60	0	0	100	100	100	89.2733	57.0833	0669
 0	56.7733	60.4693	3.12667	0.52	98.96	99.74	100	88.6467	64.6833	0167
 0	56.7733	64.4273	29.9467	8.33333	91.4033	97.66	94.7933	84.0667	63.8533	0024
 0	56.7733	76.718	50.78	60.4167	90.1033	88.8033	93.4867	83.3333	70.3133	0560
 0	56.77	60.4167	5.72667	0	97.9167	100	98.44	87.5033	63.8533	0117
 0	56.77	60.5727	3.38333	0	99.48	100	100	86.6667	66.7733	0932
 0	56.77	68.5933	13.8033	52.8667	89.06	92.1867	95.05	81.6667	70.52	0571
 0	56.77	70.6773	20.8333	53.6467	90.8833	93.23	94.7933	83.1267	69.48	0109
 0	56.77	72.5513	48.1767	71.3533	81.25	77.3433	84.6333	79.3733	68.5433	0808
 0	56.77	73.072	40.8833	50	89.06	92.7067	92.71	84.48	66.7733	0894
 0	57.2933	60.0007	1.82333	0.78	97.92	99.74	99.74	87.08	67.1867	0328
 0	57.2933	60.26	0.26	3.38333	98.6967	99.74	99.22	88.85	64.9967	0260
 0	57.2933	61.042	5.99	0.26	99.48	100	99.48	87.81	66.3533	0528
 0	57.2933	66.8247	64.5833	77.3433	60.16	71.3567	60.68	59.5833	68.5433	0031
 0	57.2933	68.5427	24.7433	32.29	92.4467	95.5733	97.66	85.21	65.73	0097
 0	57.2933	71.7193	68.49	60.1533	73.18	74.74	82.0333	71.67	69.5833	0539
 0	57.2933	75.7273	44.79	60.1567	89.32	91.9233	92.4467	82.6033	68.44	0290
 0	57.29	60	0	0	100	100	100	89.48	59.2733	0284
 0	57.29	60.3653	4.16667	0.78	98.44	98.96	99.48	88.2333	64.7933	0035
 0	57.29	64.324	23.96	0.26	98.18	99.74	99.48	88.6467	68.3333	0419
 0	57.29	76.562	68.7467	57.2933	86.72	83.07	86.98	79.06	66.6667	0437
 0	57.8133	60	0	0	100	100	100	87.29	58.8533	0013
 0	57.8133	60	0	0	100	100	100	87.71	57.3967	0812
 0	57.8133	61.6147	9.89333	1.3	98.96	99.74	98.18	87.9133	66.3533	0376
 0	57.8133	62.2407	13.2833	0	98.96	99.48	99.48	85.5233	67.0833	0127
 0	57.8133	63.4893	52.8633	21.3533	77.0833	94.2733	71.8733	75.1033	65.8333	0286
 0	57.8133	67.918	45.3133	0	98.18	96.8767	99.22	87.6067	65.94	0559
 0	57.81	60.6773	4.94667	0	98.96	99.74	99.74	86.2467	64.8933	0314
 0	57.81	61.198	5.46667	2.86333	98.96	99.74	98.96	89.3733	66.8767	0023
 0	57.8167	61.824	12.24	1.56	98.44	98.96	97.92	86.8733	68.9533	0292
 0	58.3333	60.4173	4.95	1.56	96.6167	99.48	99.48	89.3767	64.8967	0190
 0	58.3333	60.5207	3.38333	0	99.48	99.74	100	86.7733	65.2067	0886
