K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	25.564	42.61	57.51	0.0	16.42	0.0	53.89	88.97	88.38	57.36	57.81	0769
0	23.052	38.42	26.22	0.0	60.08	0.0	28.96	88.01	87.86	58.42	48.44	0508
0	20.382	33.97	42.66	0.0	5.51	0.0	53.74	88.16	88.21	58.7	34.38	0036
64	28.594	26.48	25.41	0.0	58.35	25.41	33.8	86.86	89.37	71.57	67.19	0524
64	25.126	41.88	26.19	0.0	30.31	0.0	69.13	88.85	88.42	58.84	53.12	0557
0	36.17	-37.44	16.47	46.32	9.35	70.95	37.76	70.03	86.79	84.3	70.31	0026
0	25.376	42.29	47.17	0.0	28.9	0.0	50.81	88.11	88.26	57.92	39.06	0061
64	38.894	-4.39	15.98	35.32	31.06	47.74	64.37	84.25	86.29	70.31	65.62	0250
0	23.05	38.42	72.65	0.0	17.45	0.0	25.15	88.47	88.56	58.48	50.0	0054
64	44.618	-19.44	56.0	62.81	34.58	49.76	19.94	85.09	81.98	67.6	64.06	0024
64	35.736	-89.34	0.0	88.65	0.0	90.03	0.0	5.88	6.09	68.27	54.69	0574
64	37.068	-7.96	49.21	61.29	15.78	22.4	36.66	85.44	91.05	82.29	84.38	0275
64	21.674	36.12	81.06	0.0	11.4	0.0	15.91	88.62	88.74	66.87	65.62	0310
64	25.072	41.79	35.8	0.0	29.44	0.0	60.12	88.9	88.59	58.62	37.5	0533
64	22.488	28.96	4.86	0.7	88.11	9.53	9.24	86.2	87.19	67.99	68.75	0796
64	40.474	-8.8	41.53	43.74	40.52	47.77	28.81	85.11	84.99	70.79	56.25	0073
0	20.44	34.07	48.4	0.0	45.81	0.0	7.99	88.75	88.87	58.62	40.62	0285
0	22.036	36.73	51.6	0.0	14.96	0.0	43.62	88.47	88.44	57.97	45.31	0288
64	51.112	-38.72	20.73	70.06	22.58	78.63	63.56	81.62	90.03	83.49	68.75	0033
0	23.834	39.72	54.45	0.0	26.74	0.0	37.98	88.97	88.71	58.98	45.31	0272
0	21.434	35.72	81.03	0.0	8.91	0.0	17.23	88.66	88.64	56.32	46.88	0031
64	39.486	-5.45	46.18	36.37	35.39	49.14	30.35	84.41	82.35	67.07	57.81	0261
0	25.634	27.23	39.74	8.19	30.9	10.41	38.93	85.68	83.24	67.4	64.06	0761
0	21.552	35.92	65.01	0.0	4.92	0.0	37.83	88.9	88.94	58.84	57.81	0779
64	19.978	33.3	75.96	0.0	1.13	0.0	22.8	88.75	88.77	58.28	40.62	0768
64	44.654	-23.07	32.95	41.52	39.17	75.47	34.16	83.11	80.37	69.53	60.94	0500
0	20.426	34.05	91.55	0.0	3.62	0.0	6.96	88.52	88.19	58.59	42.19	0804
64	34.548	12.07	9.64	17.43	45.0	37.18	63.49	86.67	87.45	69.67	70.31	0042
0	22.834	38.06	47.24	0.0	34.31	0.0	32.62	88.51	88.92	57.36	42.19	0023
64	24.026	40.04	55.97	0.0	22.96	0.0	41.2	88.14	88.38	58.2	45.31	0280
64	23.466	39.11	71.56	0.0	17.4	0.0	28.37	88.89	88.26	58.48	56.25	0752
