K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.75	88.67	57.95	56.25	1124
64	82.444	18.85	88.95	60.58	90.17	81.68	90.84	85.49	90.42	81.62	78.12	2256
64	58.5	96.09	95.6	0.0	98.22	1.69	96.99	75.54	75.73	58.03	43.75	1870
0	61.326	65.0	77.93	40.35	90.06	4.3	93.99	72.8	73.41	58.87	51.56	1855
64	80.766	13.12	84.79	61.64	89.09	84.15	84.16	82.3	89.6	78.46	73.44	2628
0	74.772	28.91	86.84	65.38	80.01	49.47	92.16	80.96	85.83	75.24	67.19	2526
0	73.59	54.03	93.98	53.1	93.46	29.24	98.17	85.75	81.97	70.03	62.5	2270
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.94	88.64	58.0	43.75	2098
64	58.748	97.91	97.71	0.0	96.76	0.0	99.27	41.26	42.17	5.82	18.75	2002
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.41	88.23	57.72	42.19	1559
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.02	89.12	58.67	54.69	2265
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.47	88.41	57.64	56.25	2325
64	60.722	97.33	99.33	4.21	99.78	0.44	99.85	88.26	88.21	67.26	71.88	1067
64	78.876	-10.22	82.37	77.78	63.91	92.24	78.08	73.76	81.19	71.26	39.06	2271
0	58.39	95.95	99.96	1.64	98.49	0.0	91.86	81.84	82.36	58.39	42.19	1508
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.64	88.95	58.76	53.12	2316
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.56	88.67	66.73	59.38	2072
64	60.126	99.2	99.89	1.17	99.68	0.04	99.85	88.82	89.33	69.08	73.44	2538
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.67	89.13	58.79	70.31	2361
64	86.006	2.12	85.01	89.59	83.25	79.88	92.3	83.54	91.41	80.75	71.88	1817
