K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
64	32.6075	26.49	44.81	4.77	46.9	33.95	89.47	91.82	82.37	71.88	2025
64	61.7	-25.24	46.61	67.26	51.55	81.38	81.85	90.0	86.07	78.12	1526
0	36.65	2.92	12.86	27.52	63.36	42.86	73.61	92.59	84.63	89.06	3533
64	52.4125	-14.54	49.09	56.05	41.19	63.32	82.2	84.97	80.86	75.0	3528
64	41.16	19.63	62.57	26.3	39.39	36.38	86.47	90.04	80.14	82.81	2069
64	26.2525	52.5	49.15	0.0	55.86	0.0	89.47	89.13	56.92	53.12	2042
0	24.2225	48.45	63.51	0.0	33.38	0.0	89.91	89.73	57.66	37.5	1521
64	25.0	50.0	100.0	0.0	0.0	0.0	89.0	88.58	57.87	31.25	2532
64	25.7275	51.46	94.35	0.0	8.56	0.0	89.47	89.17	58.4	50.0	3532
0	25.1675	50.34	97.62	0.0	3.05	0.0	90.16	89.59	58.87	64.06	2576
64	29.8825	51.15	61.52	0.33	49.4	8.28	89.43	92.87	81.73	81.25	3045
64	24.075	-16.47	0.0	19.76	31.68	44.86	10.85	10.77	35.26	29.69	3051
64	26.145	52.29	90.27	0.0	14.31	0.0	90.04	90.24	59.2	54.69	3040
64	25.2	50.4	99.45	0.0	1.35	0.0	90.18	89.92	57.81	39.06	0557
0	25.0	50.0	100.0	0.0	0.0	0.0	89.91	89.98	57.89	59.38	1006
0	25.395	50.79	97.68	0.0	3.9	0.0	89.83	89.87	57.74	45.31	1035
64	25.42	50.84	96.57	0.0	5.11	0.0	89.79	90.02	57.02	48.44	0025
0	29.33	-2.03	56.63	60.49	0.0	0.2	48.81	48.12	56.79	37.5	0090
64	24.6725	49.34	96.74	0.0	1.95	0.0	88.46	87.69	57.25	50.0	0527
64	25.09	50.18	68.93	0.0	31.43	0.0	89.61	88.92	56.45	40.62	0038
0	25.2225	50.45	96.34	0.0	4.55	0.0	89.33	89.79	58.12	54.69	2038
64	25.27	50.54	99.28	0.0	1.8	0.0	89.79	89.81	58.33	43.75	1016
0	40.53	-5.88	35.44	38.07	39.74	48.87	75.44	91.82	84.32	81.25	0027
0	25.2475	50.49	90.18	0.0	10.81	0.0	89.63	90.04	57.27	40.62	2518
0	24.84	49.68	95.76	0.0	3.6	0.0	89.71	89.49	56.61	32.81	1023
64	58.1025	-39.92	41.25	76.91	35.04	79.21	74.26	87.18	83.01	65.62	0519
0	45.4175	-52.36	15.6	74.81	22.87	68.39	57.55	86.07	82.96	76.56	1562
0	25.5325	51.06	86.36	0.0	15.77	0.0	89.55	89.59	57.1	51.56	1062
