K	ADVFM	FM	PT	ID
 0	48.314	3.062	69.75	0180
 0	48.56	3.748	70.376	0413
 0	48.75	4.748	68.812	0349
 0	48.874	5.188	70.312	0093
 0	49.564	3.874	68.998	0667
 0	49.626	6.25	67.938	0011
 0	49.936	4.938	70.064	0270
 0	49.998	8.752	69.248	0016
 0	49.998	9.438	70.376	0692
 0	50.062	5.188	67.876	0842
 0	50.124	4.126	69.436	0201
 0	50.438	3.562	69.186	0370
 0	50.496	8.312	70.876	0464
 0	50.502	5.626	70.626	0749
 0	50.5	3.686	70.874	0592
 0	50.5	5.44	68.062	0437
 0	50.562	6.5	71.436	0684
 0	50.5	8.188	68	0393
 0	50.628	7.938	69.438	0555
 0	50.688	4.69	71.31	0828
 0	50.938	2.75	67.124	0763
 0	51.436	7.686	69.502	0194
 0	51.624	5.126	68.186	0084
 0	51.688	10.564	69.06	0362
 0	51.75	4.252	69.936	0021
 0	51.874	10.312	70.44	0457
 0	51.874	13.248	68.938	0507
 0	52.188	4.312	69.812	0862
 0	52.438	7.188	67.498	0455
 0	52.626	9.938	69	0365
 0	53.062	18.252	69.938	0060
 0	53.124	5.438	68.626	0014
 0	53.188	28.376	71.5	0162
 0	53.438	25.564	67.752	0249
 0	54.064	18.876	67.188	0701
 0	55.374	26.624	67.064	0639
 0	57.062	84.062	67.876	0144
 0	57.5	83.688	68.75	0696
 0	58.376	30.996	67.688	0235
 0	59.312	81.876	68.438	0407
 0	59.376	81.19	71.126	0740
 0	59.688	82.81	69.374	0616
 0	59.752	80.626	68.938	0091
 0	60.126	32.748	70.126	0520
 0	60.25	84.624	69.126	0524
 0	60.81	83.938	69.562	0600
 0	61.124	44.436	68.688	0411
 0	62.124	47.064	68.312	0172
 0	62.248	83.938	73.064	0258
 0	62.5	81.874	67.75	0101
 0	62.814	45.5	67.438	0141
 0	63.188	83.436	67.252	0332
 0	63.564	81.438	69	0319
 0	63.564	84.56	71.5	0739
 0	63.5	85.312	72.436	0691
 0	63.626	83.002	72.876	0664
 0	63.628	77.626	69.064	0688
 0	63.812	78.188	66.376	0635
 0	64.25	83.312	69.624	0333
 0	64.312	81.998	69.498	0193
